svn_revision	git_commit	author_date	author	svn_url	svn_uuid
61	302878441a344b5416ed66a2643e87f9f2f28e34	2010-12-17T20:45:52Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
62	6021f3b34855bb896edb9d8495e317720e94ba4d	2011-01-09T21:05:50Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
63	53c3260bfbbc36e7974ae4b8c692edd3586bb641	2011-01-09T22:57:56Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
64	5eedf5e2033ef3be9ebafcd70e6ec39b28ec499a	2011-02-04T06:41:14Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
65	c554dc3ad757223ced1fe6a25081e8404d0af9cd	2011-02-15T18:53:08Z	toboms	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
66	ce2dfd8d5bde08b33b92bac68cb118c1e2cb06b4	2011-02-16T18:04:11Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
67	0960b88e766fc06ea0918d70a494cefdc5fa93d2	2011-02-17T09:00:38Z	toboms	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
68	6b64cb84e4f3bc5e4a3fb54927f87c74b5df3962	2011-05-26T19:20:04Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_bugfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
69	c650bf6aeee0188182e35a8f66cbae49c9e12f89	2011-05-26T20:38:37Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_bugfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
70	29f5ce2e9ade4a3e0330a9ca81c11bfa5e78f7fd	2011-05-26T20:45:40Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.20b	595569ee-1d76-4581-98bb-cbe32a4b19d9
71	84b91dcb952e95f0f794a93d4272a12807693c5d	2011-05-26T21:07:56Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.20b	595569ee-1d76-4581-98bb-cbe32a4b19d9
72	e799be8dc8b4873fbd72d2d199677e862ae6acde	2011-06-17T05:19:26Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.20b	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	23fc50a9fddb491f2e98f0d46a347f73b809c0cf	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/branch/0.9.20_bugfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	5126474f9e5f1698fc9fc4a7e22e54af96277e71	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.12	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	7f614650bb35222dd0d81580849c3c87d6b4e827	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.20	595569ee-1d76-4581-98bb-cbe32a4b19d9
